relative_time_0,packet_length_0,relative_time_1,packet_length_1,relative_time_2,packet_length_2,relative_time_3,packet_length_3,relative_time_4,packet_length_4,label
0,194,5.60E-05,720,0.000109,721,0.000145,162,0.000202,832,Discord_video
0,47,3.30E-05,47,6.60E-05,47,0.00017,47,0.001286,47,Discord_video
0,206,2.80E-05,80,7.70E-05,1122,0.000128,1122,0.000177,1122,Discord_video
0,221,4.30E-05,851,0.000101,213,0.000645,850,0.00067,188,Discord_video
0,80,8.30E-05,1134,0.000155,1134,0.000207,1134,0.000256,1134,Discord_video
0,836,0.000712,839,0.0012,832,0.001715,809,0.002223,819,Discord_video
0,47,0.000137,47,0.000717,47,0.001117,47,0.001151,47,Discord_video
0,632,2.10E-05,612,3.60E-05,273,6.90E-05,1242,0.000108,1242,Discord_video
0,226,2.00E-05,80,7.60E-05,1137,0.000116,1137,0.000151,1137,Discord_video
0,225,3.50E-05,80,6.40E-05,972,9.90E-05,973,0.000129,973,Discord_video
0,224,0.000115,80,0.000151,1210,0.000181,1210,0.000212,1210,Discord_video
0,80,3.00E-05,1139,5.60E-05,1139,0.997273,80,0.997606,1172,Discord_video
0,194,2.60E-05,700,4.80E-05,700,0.000102,702,0.000134,702,Discord_video
0,47,0.000401,47,0.000431,47,0.000862,47,0.001096,47,Discord_video
0,80,2.90E-05,1119,7.20E-05,1119,0.000222,1119,0.00025,1119,Discord_video
0,80,5.40E-05,1056,0.00015,1056,0.000393,1057,0.000419,1057,Discord_video
0,80,2.90E-05,1053,6.30E-05,1053,9.30E-05,1053,0.000412,80,Discord_video
0,80,3.10E-05,1180,6.20E-05,1180,9.20E-05,1180,0.000122,1180,Discord_video
0,194,6.70E-05,1203,0.000153,1203,0.000224,1203,0.000292,1203,Discord_video
0,47,0.000354,47,0.000765,47,0.001302,47,0.00205,47,Discord_video
0,827,0.000755,793,0.000792,802,0.001744,767,0.004155,774,Discord_video
0,80,6.60E-05,1191,0.000133,1191,0.000201,1191,0.000268,1191,Discord_video
0,80,4.70E-05,1139,8.10E-05,1139,0.000115,1139,0.000149,1139,Discord_video
0,80,0.000556,866,0.000647,80,0.001033,723,0.00539,80,Discord_video
0,907,0.000712,80,0.000747,931,0.000779,931,0.00081,931,Discord_video
0,80,0.000125,1174,0.000174,1174,0.000218,1174,0.000258,1174,Discord_video
0,676,0.00098,634,0.00102,677,0.001738,640,0.002307,602,Discord_video
0,80,5.20E-05,1211,0.000114,1211,0.000167,1211,0.000241,1211,Discord_video
0,599,0.000552,653,0.00058,664,0.001448,748,0.00215,711,Discord_video
0,80,6.30E-05,1208,0.000105,1208,0.000154,1208,0.000191,1208,Discord_video
0,194,2.90E-05,665,7.40E-05,665,0.000153,162,0.000205,756,Discord_video
0,610,4.50E-05,632,7.00E-05,612,9.00E-05,281,0.00014,1242,Discord_video
0,233,0.000109,225,0.000125,80,0.000156,1174,0.000194,1174,Discord_video
0,80,3.00E-05,1108,5.80E-05,1108,0.000559,225,0.0006,80,Discord_video
0,80,9.30E-05,1148,0.000135,1149,0.000163,1149,0.00019,1149,Discord_video
0,80,2.60E-05,1166,8.50E-05,1167,0.00011,1167,0.00133,80,Discord_video
0,194,5.50E-05,719,0.000109,719,0.000161,703,0.000214,705,Discord_video
0,610,7.10E-05,632,0.000285,612,0.000784,895,0.000876,612,Discord_video
0,102,0.000554,793,0.000574,47,0.00061,47,0.001019,765,Discord_video
0,80,4.30E-05,1142,8.20E-05,1142,0.000119,1142,0.000156,1142,Discord_video
0,194,0.000515,190,0.00055,858,0.000591,184,0.000985,836,Discord_video
0,47,1.70E-05,80,9.50E-05,1099,0.000136,1099,0.000173,1099,Discord_video
0,194,5.40E-05,690,0.000106,691,0.000179,826,0.000237,828,Discord_video
0,47,0.001548,47,0.002217,47,0.002872,47,0.002969,47,Discord_video
0,80,4.90E-05,1203,9.50E-05,1203,0.000143,1203,0.000192,1203,Discord_video
0,80,0.000278,1171,0.00033,1171,0.000411,1171,0.000569,1171,Discord_video
0,113,0.000268,80,0.000622,1148,0.000714,1149,0.000743,1149,Discord_video
0,80,3.20E-05,1162,0.000157,1162,0.000205,1162,0.000237,1162,Discord_video
0,80,0.00024,1189,0.000352,1189,0.000411,1189,0.00047,80,Discord_video
0,107,0.00021,116,0.000304,165,0.000659,227,0.000756,231,Discord_video
0,80,4.10E-05,1061,8.00E-05,1061,0.000116,1061,0.000152,1061,Discord_video
0,80,8.90E-05,1203,0.000131,1203,0.00017,1203,0.00104,80,Discord_video
0,47,9.30E-05,47,0.00029,47,0.000799,47,0.000989,47,Discord_video
0,80,6.70E-05,1187,0.000134,1187,0.000208,1187,0.000276,1187,Discord_video
0,1078,0.00061,1157,0.001018,1135,0.001637,1191,0.002091,1117,Discord_video
0,47,0.001729,47,0.002367,47,0.002398,47,0.00374,47,Discord_video
0,103,7.90E-05,103,0.000154,133,0.000196,195,0.000235,238,Discord_video
0,107,2.00E-05,102,4.20E-05,198,6.50E-05,237,8.50E-05,223,Discord_video
0,221,2.30E-05,80,0.000116,1124,0.000163,1124,0.000209,1124,Discord_video
0,1065,4.80E-05,1067,0.000328,80,0.000368,765,0.000409,765,Discord_video
0,47,5.10E-05,47,0.000595,47,0.00123,47,0.001597,47,Discord_video
